"Animal","symptoms1","symptoms2","symptoms3","symptoms4","symptoms5","Dangerous","Gender","Age"
"chicken","Weakness","Diarrhea","High moratality","Dehydration","Anorexia","No","Male",5
"chicken","Weakness","Diarrhea","High moratality","Dehydration","Anorexia","No","Male",2
"buffaloes","Sneezing","Convulsion","Seizuers","Weight loss","Nasal Discharge","Yes","Male",20
"donkey","outstretched neck","dull ness","inappetence","noisy breathing","coughing","Yes","Female",30
"fowl","Poor condition","Enlarged lymph nodes","Diarrhea","Weight loss","Pain","Yes","Male",4
"buffaloes","Diarrhea with muscus","Tensemus","Nose Bleeds","Flatulence","Pains","Yes","Female",12
"chicken","Neck paralysis","Diarrhea","ruffled feathers","Labored breathing","Weakness","No","Male",1
"duck","Attacks","Loss of  appetite","Coughing","Weight loss","Periodic vommiting","Yes","Male",3
"chicken","loss of appetite","Depression","Paralyzed leg","Weight loss","Anemia","No","Male",7
"pigs","Wool is clumped","Feels stiff","Staggering","Skin Rashes","Pains","Yes","Male",1
"buffaloes","Liquid Dropping","Exhaustion","Ataxia","Lethargy","Seizures","Yes","Male",29
"fowl","Runny nose","Difficulty in breathing","Coughing","Weakness","Loss of appettite","Yes","Female",4
"chicken","Apathy","Depression","Dilation of duodenum","Cloacal pasting","Congestion","Yes","Male",2
"chicken","Stripped remiges","Less Feather growth","Ruffled feathers","Defienciency in vitamin","Diarrhea","Yes","Male",5
"chicken","Facial Swelling","Lacrimation","Diarrhea","Anorexia","Nasal Discharge","No","Male",9
"fowl","Fever","Hemolytic anemia","Hemoglobinuria","pulmonary congestion","Jaundice","Yes","Female",1
"pigs","Swaying","Behaviour change","Tremor","Jerky limb movements","Pains","Yes","Female",6
"cow","Fever","weakened legs","los of the ability to walk","Mammary glads","Fluif filled blisters","Yes","Female",15
"fowl","Oedema","Swelling of face or leg","Swelling of neck","Weight loss","Pain","Yes","Female",6
"chicken","Weakness","Yellow or green dropping","Purplish combs","Wattles","Drop on egg production","No","Female",6
"goat","Fever","Hemolytic anemia","Hemoglobinuria","pulmonary congestion","Jaundice","Yes","Male",4
"donkey","cough","sneeze","droopy wings","twisted neck","droopy wings","Yes","Female",5
"fowl","Weakness","Stiffness","Trembling","White mark on the muscle","Loss of vitamin E","Yes","Male",2
"chicken","Severe swellimg","Heavy Breathing","Diarrhea","Weight loss","Pain","No","Female",5
"donkey","loss of appetite","lathargy","abortion","gurgling sound","Depression","Yes","Female",1
"donkey","Nosebleed ","Trauma","mild weakness","Nose picking","Dry air","Yes","Male",25
"buffaloes","Fever","Hepatitis","Skin rashes","Weight loss","Pain","No","Male",9
"donkey","cough","sneeze","droopy wings","twisted neck","droopy wings","Yes","Female",6
"donkey","Eye redness","Frequent eye Infections","Crusty eye lashes and matting of eyelashes","foul smelling stools"," increased passing gas","Yes","Female",1
"buffaloes","Watery Eyes","Eye closed","Weight loss","Sneezing","Nervous Issue","Yes","Male",19
"buffaloes","Fever","Reduce growth","Kid moratality","Weakness","Dullness","Yes","Female",26
"pigs","Swollen","Warm","Constipation","Depression","Bloody","Yes","Male",9
"donkey","Excessive eye watering","Eye redness","weakness","Mucus discharge from the eye","Frequent eye Infections","Yes","Female",32
"chicken","Drooping wings","Depression","Nasal Discharge","Coughing","Greenish diarrhea","No","Female",5
"hamster","Poor condition","Enlarged lymph nodes","Diarrhea","Weight loss","Pain","Yes","Female",1
"sheep","Bluish white opacity","Aversion to light","Tear produce","Blindness","weakness","Yes","Female",11
"buffaloes","Dejection","Loss of appetite","Slow growth","Diarrhea","Lesion","No","Female",2
"chicken","Enlarged Thymus","Obstructed Lungs","Lethargy","Skin rashes","Weight loss","Yes","Male",3
"chicken","Dejection","Loss of appetite","Slow growth","Diarrhea","Lesion","No","Male",1
"fowl","Indigestion","Abdminal pain","Constipation","Diarrhea","Nausea","Yes","Female",8
"chicken","Facial Swelling","Lacrimation","Diarrhea","Anorexia","Nasal Discharge","No","Male",7
"chicken","Weakness","Diarrhea","High moratality","Dehydration","Anorexia","No","Male",9
"chicken","Facial Swelling","Lacrimation","Diarrhea","Anorexia","Nasal Discharge","No","Male",6
"fowl","Fever","Chills","Headache","Nausea","Pain","Yes","Female",8
"donkey","Eye redness","Frequent eye Infections","Crusty eye lashes and matting of eyelashes","foul smelling stools"," increased passing gas","Yes","Female",14
"buffaloes","Dejection","Loss of appetite","Slow growth","Diarrhea","Lesion","No","Female",28
"buffaloes","Fever","Hepatitis","Skin rashes","Weight loss","Pain","No","Male",12
"buffaloes","Fever","Hepatitis","Skin rashes","Weight loss","Pain","No","Male",5
"buffaloes","Sneezing","Epistaxis","Coughing","Difficulty in breathing","Nasal Discharge","No","Female",18
"buffaloes","Fever","Hemolytic anemia","Sweats","congestion","Jaundice","Yes","Male",27
"buffaloes","Tremor of head and neck","Blindness","Kicking at the belly","Exercise in tolerance","Pains","Yes","Male",18
"buffaloes","Drooping wings","Depression","Nasal Discharge","Coughing","Greenish diarrhea","No","Female",8
"buffaloes","loss of appetite","Depression","Paralyzed leg","Weight loss","Anemia","No","Female",20
"buffaloes","Neck paralysis","Diarrhea","ruffled feathers","Labored breathing","Weakness","No","Female",27
"chicken","Neck paralysis","Diarrhea","ruffled feathers","Labored breathing","Weakness","No","Male",7
"buffaloes","Sneezing","Epistaxis","Coughing","Difficulty in breathing","Nasal Discharge","No","Female",19
"buffaloes","Sneezing","Epistaxis","Coughing","Difficulty in breathing","Nasal Discharge","No","Female",20
"duck","Loss of eat","Difficulty in breathing","Swelling ","Lameness","Neurologic abnormalities","Yes","Female",7
"chicken","Severe swellimg","Heavy Breathing","Diarrhea","Weight loss","Pain","No","Female",2
"fowl","Fever","Depression","loss of appetite","Stumbling","Ataxia","Yes","Male",2
"buffaloes","Watery Eyes","Eye closed","Weight loss","Sneezing","Nervous Issue","Yes","Male",3
"fowl","Abortion on late pregancy","Stillbirth","Retained Placenda","Endomeritis","Decrease appetite","Yes","Female",9
"buffaloes","Weakness","Yellow or green dropping","Purplish combs","Wattles","Drop on egg production","No","Female",17
"buffaloes","Sneezing","Epistaxis","Coughing","Difficulty in breathing","Nasal Discharge","No","Female",13
"buffaloes","Weakness","Yellow or green dropping","Purplish combs","Wattles","Drop on egg production","No","Female",23
"sheep","Tenderness","Foot Hot","Facial Paralysis","Weight loss","Pains","Yes","Male",8
"sheep","Swollen","Hot joints","Pustulses","Difficulty in Walk","Pains","Yes","Male",1
"duck","Fever","Seizures","Hydrophobia","Jaw is dropped","Shyness or aggression","Yes","Female",11
"chicken","Difficulty in feeding","Preening","Weakness","Beak overgrowth","Anemia","Yes","Female",4
"chicken","Dejection","Loss of appetite","Slow growth","Diarrhea","Lesion","No","Male",4
"pigs","Limping","Skin colour change","Flabby","Raw","Sensitive to touch","Yes","Female",8
"pigs","Limping","Skin colour change","Flabby","Raw","Sensitive to touch","Yes","Female",3
"buffaloes","loss of appetite","Depression","Paralyzed leg","Weight loss","Anemia","No","Female",3
"horse","Fever","Body stiffness","Lethargy","Severe inflammation","Pain","Yes","Female",27
"chicken","Fluffed Feather","Loss of appetite","Coughing","Vomiting","Snoring","Yes","Male",1
"sheep","Fever","Diarrhea","Pot belly","Death","Loss of appettite","Yes","Female",10
"buffaloes","Weakness","Diarrhea","High moratality","Dehydration","Anorexia","No","Male",29
"sheep","Cessation of eructation","Difficulty in breathing","Depression","Anorexia","Colic","Yes","Male",2
"fowl","Constant pacing","Facial muscle twitching","abnormalalities","Blindness","Muscle pain","Yes","Male",1
"buffaloes","Drooping wings","Depression","Nasal Discharge","Coughing","Greenish diarrhea","No","Female",15
"cow","loss in weight","emaciation","loss of appetite","Weakness","diarrhoea","Yes","Male",3
"buffaloes","Sneezing","Epistaxis","Coughing","Difficulty in breathing","Nasal Discharge","No","Female",26
"duck","Poor coat apperence ","Diarrhea","Vomiting","Weight loss","Dehydration","Yes","Female",1
"hamster","Loss of activity","Rough coat","loss of appetite","Weight loss","Eventually death","Yes","Female",2
"chicken","Facial Swelling","Lacrimation","Diarrhea","Anorexia","Nasal Discharge","No","Male",3
"horse","Sudden death","Trouble walking","Paralysis","Depression","Convulsion","Yes","Female",18
"buffaloes","Fever","Hepatitis","Skin rashes","Weight loss","Pain","No","Male",1
"chicken","Dejection","Loss of appetite","Slow growth","Diarrhea","Lesion","No","Male",8
"buffaloes","Sneezing","Epistaxis","Coughing","Difficulty in breathing","Nasal Discharge","No","Female",19
"fowl","Abortion on late pregancy","Stillbirth","Retained Placenda","Endomeritis","Decrease appetite","Yes","Female",8
"buffaloes","Puffed_up Feather","Less Eat","Headache","Half-closed eye","Seizures","Yes","Male",23
"buffaloes","Fever","Hepatitis","Skin rashes","Weight loss","Pain","No","Male",28
"fowl","Dullness","Lacrimation","Coughing","Diarrhea","Seizures","Yes","Female",5
"chicken","Sharp Feather","Clubbed Feather","Eye disharge","Loss of powder down","Diarrhea","Yes","Male",1
"chicken","Lethargy","Loss of appetite","Difficulty in Swallowing","Weakness","Vision Problem","Yes","Female",6
"sheep","sudden death","high temperature","rapid pulse and heart rates","Depression","trembling","Yes","Female",8
"buffaloes","Facial Swelling","Lacrimation","Diarrhea","Anorexia","Nasal Discharge","No","Female",16
"chicken","loss of appetite","Depression","Paralyzed leg","Weight loss","Anemia","No","Male",6
"buffaloes","Sneezing","Epistaxis","Coughing","Difficulty in breathing","Nasal Discharge","No","Female",18
"sheep","Wether restless","Kicking","Normal appetite","Attempt to urinate","Pains","Yes","Male",11
"rabbit","Discomfort","Diarrhea","Dry or dull hair","Grinding teeth","Pain","Yes","Female",9
"hamster","Fever","Diarrhea","Vomiting","Dehydration","Pain","Yes","Male",1
"chicken","Dejection","Loss of appetite","Slow growth","Diarrhea","Lesion","No","Male",4
"buffaloes","Fever","Hepatitis","Skin rashes","Weight loss","Pain","No","Male",11
"chicken","Facial Swelling","Lacrimation","Diarrhea","Anorexia","Nasal Discharge","No","Male",7
"chicken","Dejection","Loss of Appetite","Stress","Coughing","Pains","Yes","Male",2
"pigs","Fever","Diarrhea","Pot belly","Death","Loss of appettite","Yes","Male",6
"chicken","Lepatomegaly","Splenomegaly","Vomiting","Swollen","Shaking oh head","Yes","Female",4
"fowl","Fever","Lack of coordination","Depression","Salivation","Facial paralysis","Yes","Female",1
"chicken","Neck paralysis","Diarrhea","ruffled feathers","Labored breathing","Weakness","No","Male",7
"chicken","Weakness","Diarrhea","High moratality","Dehydration","Anorexia","No","Male",1
"chicken","Drooping wings","Depression","Nasal Discharge","Coughing","Greenish diarrhea","No","Female",3
"sheep","Decreased eyelid","Very cold skin","Lethargy","Lip","Fever","Yes","Female",8
"duck","difficulty swallowing","cough ","difficulty swallowing","gasping for air","extending its neck","Yes","Female",1
"buffaloes","Dejection","Loss of appetite","Slow growth","Diarrhea","Lesion","No","Female",2
"buffaloes","Drooping wings","Depression","Nasal Discharge","Coughing","Greenish diarrhea","No","Female",6
"donkey","Egg production stops","Broody behavior","loss of appetite","Weight loss","Constipation","Yes","Female",7
"rabbit","Most often none","Sneezing","Nasal Discharge","Dyspnea","Pain","Yes","Male",9
"chicken","Drooping wings","Depression","Nasal Discharge","Coughing","Greenish diarrhea","No","Female",4
"chicken","Neck paralysis","Diarrhea","ruffled feathers","Labored breathing","Weakness","No","Male",7
"goat","Emaciation","Diarrhea","Kid moratality","Weakness","Anemia","Yes","Male",2
"chicken","Neck paralysis","Diarrhea","ruffled feathers","Labored breathing","Weakness","No","Male",1
"sheep","Fever","Depression","loss of appetite","Loss of appetite","Pains","Yes","Female",7
"chicken","Weakness","Yellow or green dropping","Purplish combs","Wattles","Drop on egg production","No","Female",4
"buffaloes","Apathy","Depression","Dilation of duodenum","Cloacal pasting","Congestion","Yes","Female",10
"chicken","Weakness","Diarrhea","High moratality","Dehydration","Anorexia","No","Male",7
"duck","burning ache or pain","vomiting","loss of appetite","experiencing changes in weight"," pain and bloating","Yes","Female",3
"buffaloes","loss of appetite","Depression","Paralyzed leg","Weight loss","Anemia","No","Female",20
"buffaloes","Ulcers","Diarrhea","Back Pain","Tarry Stool","Enlarged lymph nodes","Yes","Male",18
"buffaloes","Dejection","Loss of appetite","Slow growth","Diarrhea","Lesion","No","Female",16
"cattle","Fever","Diarrhea","Coughing","Consistency of milk","Pain","Yes","Female",19
"buffaloes","Drooping ears","Lack of coordination","Drooling","Wasting","Listlessness","Yes","Female",21
"fowl","extending its neck","gasping for air","gasping for breath","difficulty swallowing","gasping for breath","Yes","Female",4
"buffaloes","Severe swellimg","Heavy Breathing","Diarrhea","Weight loss","Pain","No","Male",22
"chicken","Neck paralysis","Diarrhea","ruffled feathers","Labored breathing","Weakness","No","Male",2
"fowl","Fever","Poor coat condition","Infection of the skin","Weight loss","Fatique","Yes","Female",1
"buffaloes","Neck paralysis","Diarrhea","ruffled feathers","Labored breathing","Weakness","No","Female",3
"pigs","Bloody Diarhhea","Depression","Dullness","Death","Weakness","Yes","Female",1
"cattle","Fever","Ulcer on gum","Red eye","Yellowish Discharge","Bloody Diarrhea","Yes","Female",14
"rabbit","Rhinitis","Pneumonia ","abscessess","Torticollis","Septicemia","Yes","Male",9
"goat","Fever","Reduce growth","Kid moratality","Weakness","Dullness","Yes","Female",11
"pigs","Abdominal pain","Diarrhea","Malpresentation","Shock","Anorexia","Yes","Female",1
"buffaloes","Fever","Hepatitis","Skin rashes","Weight loss","Pain","No","Male",1
"sheep","Fever","Loss of appetite","Lameness","Rump","Weight Loss","Yes","Male",8
"buffaloes","Severe swellimg","Heavy Breathing","Diarrhea","Weight loss","Pain","No","Male",1
"cattle","Fever","Ulcer on gum","Red eye","Yellowish Discharge","Bloody Diarrhea","Yes","Female",16
"buffaloes","Dejection","Loss of appetite","Slow growth","Diarrhea","Lesion","No","Female",1
"buffaloes","Drooping wings","Depression","Nasal Discharge","Coughing","Greenish diarrhea","No","Female",21
"buffaloes","Gastritis","morbidity","Bloody","Mortality","Anemia","Yes","Female",4
"pigs","Foul Smelling","Diarrhea","Colic","Bloody discharge","Blood Clots","Yes","Female",1
"buffaloes","Weakness","Yellow or green dropping","Purplish combs","Wattles","Drop on egg production","No","Female",22
"hamster","Fever","Chills","Coughing","Progressive weakness","Joint Pain","Yes","Female",2
"hamster","Bald patches","Hair loss","Crusty","Flaky","Red lesion from bald patches","Yes","Male",1
"chicken","Neck paralysis","Diarrhea","ruffled feathers","Labored breathing","Weakness","No","Male",3
"chicken","loss of appetite","Depression","Paralyzed leg","Weight loss","Anemia","No","Male",9
"donkey","Nosebleed ","Trauma","mild weakness","Nose picking","Dry air","Yes","Male",5
"fowl","Red Tinge","Slim over the shell","Bad smell","Easily damage shell","Flaking of the Scutes","Yes","Female",7
"goat","Berberi","Wasting","Nervous","Weight loss","Anorexia","Yes","Female",14
"duck","Fever","Inflammed eye","Coughing","Depression","Limping","Yes","Female",8
"donkey","Coughing ","panting","facial swelling,","Production of mucus","Fatigue","Yes","Male",1
"buffaloes","Dejection","Loss of appetite","Slow growth","Diarrhea","Lesion","No","Female",16
"chicken","Weakness","Yellow or green dropping","Purplish combs","Wattles","Drop on egg production","No","Female",4
"chicken","Weakness","Diarrhea","High moratality","Dehydration","Anorexia","No","Male",2
"sheep","Swelling","Loss of appetite","Wool loss","Tears","Death","Yes","Male",9
"pigs","Wool is clumped","Feels stiff","Staggering","Skin Rashes","Pains","Yes","Male",3
"buffaloes","Fever","Rhinorrhea","Coughing","Sneezing","Dehydration","Yes","Female",23
"chicken","Fever","Loss of appetite","Ear infection","Depression","Nasal Discharge","Yes","Male",4
"chicken","Drooping wings","Depression","Nasal Discharge","Coughing","Greenish diarrhea","No","Female",1
"hamster","Small red bumps","Pneumonia ","Septic Arthritis","Skin infection","Pain","Yes","Female",1
"donkey","Fetopelvic dispropotion","Uteria inertia","Malpresentation","Death","Pains","Yes","Male",15
"chicken","Lethargy","Loss of appetite","Difficulty in Swallowing","Weakness","Vision Problem","Yes","Female",4
"chicken","Fluffed Feather","Loss of appetite","Coughing","Vomiting","Snoring","Yes","Male",1
"hamster","Bald patches","Hair loss","Crusty","Flaky","Red lesion from bald patches","Yes","Male",1
"duck","Fever","Swelling of face or leg","Poor Appetite","Depression","Pains","Yes","Female",8
"buffaloes","Fever","Hepatitis","Skin rashes","Weight loss","Pain","No","Male",19
"donkey","Extreme thirst","bloody discharge","Loss of appetite","inability to fly","loss of wariness","Yes","Female",25
"fowl","Swelling of udder","change in milk","Swollen","Tender to touch","Pain","Yes","Female",3
"pigs","Fever","Dullness","Relunctance to walk","Infected navels","Pains","Yes","Female",6
"rabbit","Fever","Diarrhea","Enteritis","Weight loss","Stomach  cramps","Yes","Male",1
"duck","Fever","Diarrhea","Vomiting","Weight loss","Dehydration","Yes","Male",10
"horse","fever","mild colic","loss of tail tone","loss of appetite","depression","Yes","Female",27
"horse","Sickness","Diarrhea","Weight loss","Nausea","Dehydration","Yes","Male",4
"goat","Fever","Reduce growth","Kid moratality","Weakness","Dullness","Yes","Female",12
"chicken","Neck paralysis","Diarrhea","ruffled feathers","Labored breathing","Weakness","No","Male",7
"rabbit","Red on affected area","Horny growth","Wart-like growth","Red skin","Lesions on ear","Yes","Female",2
"hamster","Heavy infection","Diarrhea","Vitamin and minerals defiency","Weight loss","Pain","Yes","Male",1
"chicken","Dejection","Loss of appetite","Slow growth","Diarrhea","Lesion","No","Male",3
"cattle","Fever","Diarrhea","Coughing","Consistency of milk","Pain","Yes","Female",10
"sheep","lllthrift","Bottle jaw","Strange behaviour","Aneamia","Jaundice","Yes","Male",9
"buffaloes","Dejection","Loss of appetite","Slow growth","Diarrhea","Lesion","No","Female",6
"pigs","Fever","Loss of appetite","Stumbling","Restlessness","Pains","Yes","Female",1
"chicken","loss of appetite","Depression","Paralyzed leg","Weight loss","Anemia","No","Male",7
"buffaloes","Facial Swelling","Lacrimation","Diarrhea","Anorexia","Nasal Discharge","No","Female",16
"buffaloes","Fever","Succumb","Spread of infection","Weight loss","Anorexia","Yes","Female",1
"pigs","Limping","Skin colour change","Flabby","Raw","Sensitive to touch","Yes","Female",5
"sheep","Fever","Dullness","Depression","Weight loss","Anorexia","Yes","Male",7
"buffaloes","Fever","Hepatitis","Skin rashes","Weight loss","Pain","No","Male",1
"pigs","Fever","Ulcer","Scabs","Discharge from eye","Pains","Yes","Female",1
"chicken","Weakness","Diarrhea","High moratality","Dehydration","Anorexia","No","Male",9
"pigs","Tremor ","Viability","Coughing","Anorexia","Weight Loss","Yes","Male",3
"fowl","Fever","Uncharacteristic hiding","Depression","Dehydration","Stopped eat","Yes","Female",9
"buffaloes","Swelling on leg","Painfull","Poor Appetite","Broken Bones","Nasal Discharge","Yes","Male",21
"chicken","Apathy","Depression","Dilation of duodenum","Cloacal pasting","Congestion","Yes","Male",1
"chicken","Legness","Paresis","Coughing","Weight loss","Shortness of breath","Yes","Male",6
"buffaloes","Fever","Tiredness","Swollen kidney","Hematuria","Muscle aches","Yes","Female",18
"buffaloes","Facial Swelling","Lacrimation","Diarrhea","Anorexia","Nasal Discharge","No","Female",4
"buffaloes","Hair loss","Dandruff","Vomiting","Crusting of the skin","Ulcerated skin","Yes","Male",13
"buffaloes","Fever","Death","Coughing","Dyspnea","Anorexia","Yes","Female",11
"sheep","Spines","Unusally thin","Weakness","Enlarged skulls","Weakness","Yes","Male",4
"buffaloes","Dejection","Loss of appetite","Slow growth","Diarrhea","Lesion","No","Female",2
"duck","Fever","Chronic eye inflamation","Poor Appetite","Lethargy","Neurologic abnormalities","Yes","Female",6
"pigs","Fever","Depression","loss of appetite","Loss of appetite","Pains","Yes","Female",9
